TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,009
Test Abbreviation:,TEST 3 LONCO_009
Start Date:,28-07-2024
Start Time:,00:31:33
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,188
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0,091
,Minimum:,0,077
,Time of Minimum:,00:34:29
,Date of Minimum:,28-07-2024
,Maximum:,0,104
,Time of Maximum:,00:31:57
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
28-07-2024,00:31:34,0,088
28-07-2024,00:31:35,0,089
28-07-2024,00:31:36,0,093
28-07-2024,00:31:37,0,093
28-07-2024,00:31:38,0,091
28-07-2024,00:31:39,0,091
28-07-2024,00:31:40,0,096
28-07-2024,00:31:41,0,096
28-07-2024,00:31:42,0,093
28-07-2024,00:31:43,0,100
28-07-2024,00:31:44,0,095
28-07-2024,00:31:45,0,091
28-07-2024,00:31:46,0,090
28-07-2024,00:31:47,0,095
28-07-2024,00:31:48,0,101
28-07-2024,00:31:49,0,102
28-07-2024,00:31:50,0,097
28-07-2024,00:31:51,0,095
28-07-2024,00:31:52,0,101
28-07-2024,00:31:53,0,098
28-07-2024,00:31:54,0,099
28-07-2024,00:31:55,0,098
28-07-2024,00:31:56,0,098
28-07-2024,00:31:57,0,104
28-07-2024,00:31:58,0,101
28-07-2024,00:31:59,0,096
28-07-2024,00:32:00,0,100
28-07-2024,00:32:01,0,097
28-07-2024,00:32:02,0,099
28-07-2024,00:32:03,0,095
28-07-2024,00:32:04,0,097
28-07-2024,00:32:05,0,093
28-07-2024,00:32:06,0,089
28-07-2024,00:32:07,0,091
28-07-2024,00:32:08,0,094
28-07-2024,00:32:09,0,096
28-07-2024,00:32:10,0,098
28-07-2024,00:32:11,0,095
28-07-2024,00:32:12,0,087
28-07-2024,00:32:13,0,093
28-07-2024,00:32:14,0,093
28-07-2024,00:32:15,0,092
28-07-2024,00:32:16,0,097
28-07-2024,00:32:17,0,095
28-07-2024,00:32:18,0,095
28-07-2024,00:32:19,0,095
28-07-2024,00:32:20,0,093
28-07-2024,00:32:21,0,088
28-07-2024,00:32:22,0,086
28-07-2024,00:32:23,0,084
28-07-2024,00:32:24,0,089
28-07-2024,00:32:25,0,091
28-07-2024,00:32:26,0,088
28-07-2024,00:32:27,0,084
28-07-2024,00:32:28,0,087
28-07-2024,00:32:29,0,088
28-07-2024,00:32:30,0,084
28-07-2024,00:32:31,0,085
28-07-2024,00:32:32,0,089
28-07-2024,00:32:33,0,091
28-07-2024,00:32:34,0,095
28-07-2024,00:32:35,0,092
28-07-2024,00:32:36,0,088
28-07-2024,00:32:37,0,091
28-07-2024,00:32:38,0,092
28-07-2024,00:32:39,0,092
28-07-2024,00:32:40,0,094
28-07-2024,00:32:41,0,097
28-07-2024,00:32:42,0,094
28-07-2024,00:32:43,0,091
28-07-2024,00:32:44,0,091
28-07-2024,00:32:45,0,089
28-07-2024,00:32:46,0,091
28-07-2024,00:32:47,0,090
28-07-2024,00:32:48,0,090
28-07-2024,00:32:49,0,092
28-07-2024,00:32:50,0,096
28-07-2024,00:32:51,0,100
28-07-2024,00:32:52,0,101
28-07-2024,00:32:53,0,099
28-07-2024,00:32:54,0,100
28-07-2024,00:32:55,0,098
28-07-2024,00:32:56,0,101
28-07-2024,00:32:57,0,101
28-07-2024,00:32:58,0,101
28-07-2024,00:32:59,0,102
28-07-2024,00:33:00,0,103
28-07-2024,00:33:01,0,100
28-07-2024,00:33:02,0,097
28-07-2024,00:33:03,0,095
28-07-2024,00:33:04,0,098
28-07-2024,00:33:05,0,102
28-07-2024,00:33:06,0,104
28-07-2024,00:33:07,0,099
28-07-2024,00:33:08,0,096
28-07-2024,00:33:09,0,095
28-07-2024,00:33:10,0,097
28-07-2024,00:33:11,0,097
28-07-2024,00:33:12,0,094
28-07-2024,00:33:13,0,097
28-07-2024,00:33:14,0,097
28-07-2024,00:33:15,0,096
28-07-2024,00:33:16,0,094
28-07-2024,00:33:17,0,094
28-07-2024,00:33:18,0,095
28-07-2024,00:33:19,0,097
28-07-2024,00:33:20,0,094
28-07-2024,00:33:21,0,093
28-07-2024,00:33:22,0,088
28-07-2024,00:33:23,0,079
28-07-2024,00:33:24,0,081
28-07-2024,00:33:25,0,083
28-07-2024,00:33:26,0,084
28-07-2024,00:33:27,0,086
28-07-2024,00:33:28,0,090
28-07-2024,00:33:29,0,095
28-07-2024,00:33:30,0,093
28-07-2024,00:33:31,0,092
28-07-2024,00:33:32,0,094
28-07-2024,00:33:33,0,095
28-07-2024,00:33:34,0,087
28-07-2024,00:33:35,0,085
28-07-2024,00:33:36,0,089
28-07-2024,00:33:37,0,088
28-07-2024,00:33:38,0,093
28-07-2024,00:33:39,0,096
28-07-2024,00:33:40,0,099
28-07-2024,00:33:41,0,093
28-07-2024,00:33:42,0,088
28-07-2024,00:33:43,0,082
28-07-2024,00:33:44,0,082
28-07-2024,00:33:45,0,081
28-07-2024,00:33:46,0,081
28-07-2024,00:33:47,0,085
28-07-2024,00:33:48,0,086
28-07-2024,00:33:49,0,087
28-07-2024,00:33:50,0,089
28-07-2024,00:33:51,0,091
28-07-2024,00:33:52,0,086
28-07-2024,00:33:53,0,086
28-07-2024,00:33:54,0,093
28-07-2024,00:33:55,0,093
28-07-2024,00:33:56,0,091
28-07-2024,00:33:57,0,087
28-07-2024,00:33:58,0,089
28-07-2024,00:33:59,0,091
28-07-2024,00:34:00,0,085
28-07-2024,00:34:01,0,083
28-07-2024,00:34:02,0,081
28-07-2024,00:34:03,0,084
28-07-2024,00:34:04,0,083
28-07-2024,00:34:05,0,082
28-07-2024,00:34:06,0,079
28-07-2024,00:34:07,0,078
28-07-2024,00:34:08,0,081
28-07-2024,00:34:09,0,080
28-07-2024,00:34:10,0,082
28-07-2024,00:34:11,0,079
28-07-2024,00:34:12,0,082
28-07-2024,00:34:13,0,082
28-07-2024,00:34:14,0,081
28-07-2024,00:34:15,0,079
28-07-2024,00:34:16,0,081
28-07-2024,00:34:17,0,079
28-07-2024,00:34:18,0,079
28-07-2024,00:34:19,0,084
28-07-2024,00:34:20,0,087
28-07-2024,00:34:21,0,085
28-07-2024,00:34:22,0,083
28-07-2024,00:34:23,0,087
28-07-2024,00:34:24,0,088
28-07-2024,00:34:25,0,088
28-07-2024,00:34:26,0,087
28-07-2024,00:34:27,0,086
28-07-2024,00:34:28,0,085
28-07-2024,00:34:29,0,077
28-07-2024,00:34:30,0,077
28-07-2024,00:34:31,0,084
28-07-2024,00:34:32,0,086
28-07-2024,00:34:33,0,080
28-07-2024,00:34:34,0,083
28-07-2024,00:34:35,0,084
28-07-2024,00:34:36,0,080
28-07-2024,00:34:37,0,083
28-07-2024,00:34:38,0,084
28-07-2024,00:34:39,0,084
28-07-2024,00:34:40,0,083
28-07-2024,00:34:41,0,082

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,010
Test Abbreviation:,TEST 3 LONCO_010
Start Date:,28-07-2024
Start Time:,00:35:26
Duration (dd:hh:mm:ss):,0:00:00:00
Log Interval (mm:ss):,00:01
Number of points:,2
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,-0,018
,Minimum:,-0,018
,Time of Minimum:,00:35:28
,Date of Minimum:,28-07-2024
,Maximum:,-0,017
,Time of Maximum:,00:35:27
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
28-07-2024,00:35:27,-0,017
28-07-2024,00:35:28,-0,018

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,011
Test Abbreviation:,TEST 3 LONCO_011
Start Date:,28-07-2024
Start Time:,00:35:39
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,77
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,-0,019
,Minimum:,-0,020
,Time of Minimum:,00:35:47
,Date of Minimum:,28-07-2024
,Maximum:,-0,017
,Time of Maximum:,00:35:52
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
28-07-2024,00:35:40,-0,018
28-07-2024,00:35:41,-0,018
28-07-2024,00:35:42,-0,018
28-07-2024,00:35:43,-0,018
28-07-2024,00:35:44,-0,019
28-07-2024,00:35:45,-0,019
28-07-2024,00:35:46,-0,019
28-07-2024,00:35:47,-0,020
28-07-2024,00:35:48,-0,018
28-07-2024,00:35:49,-0,019
28-07-2024,00:35:50,-0,018
28-07-2024,00:35:51,-0,018
28-07-2024,00:35:52,-0,017
28-07-2024,00:35:53,-0,019
28-07-2024,00:35:54,-0,019
28-07-2024,00:35:55,-0,019
28-07-2024,00:35:56,-0,019
28-07-2024,00:35:57,-0,019
28-07-2024,00:35:58,-0,019
28-07-2024,00:35:59,-0,019
28-07-2024,00:36:00,-0,019
