TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,26-09-2024
Start Time:,20:56:04
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,64
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,-0.001
,Time of Minimum:,20:56:06
,Date of Minimum:,26-09-2024
,Maximum:,0.003
,Time of Maximum:,20:56:36
,Date of Maximum:,26-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
26-09-2024,20:56:05,0.000
26-09-2024,20:56:06,-0.001
26-09-2024,20:56:07,0.000
26-09-2024,20:56:08,0.000
26-09-2024,20:56:09,0.000
26-09-2024,20:56:10,0.000
26-09-2024,20:56:11,0.000
26-09-2024,20:56:12,0.000
26-09-2024,20:56:13,0.000
26-09-2024,20:56:14,0.000
26-09-2024,20:56:15,0.000
26-09-2024,20:56:16,0.000
26-09-2024,20:56:17,0.000
26-09-2024,20:56:18,0.000
26-09-2024,20:56:19,0.000
26-09-2024,20:56:20,0.000
26-09-2024,20:56:21,0.000
26-09-2024,20:56:22,0.000
26-09-2024,20:56:23,0.000
26-09-2024,20:56:24,0.000
26-09-2024,20:56:25,0.000
26-09-2024,20:56:26,0.000
26-09-2024,20:56:27,0.000
26-09-2024,20:56:28,0.000
26-09-2024,20:56:29,0.000
26-09-2024,20:56:30,0.000
26-09-2024,20:56:31,0.000
26-09-2024,20:56:32,0.000
26-09-2024,20:56:33,0.001
26-09-2024,20:56:34,0.001
26-09-2024,20:56:35,0.002
26-09-2024,20:56:36,0.003
26-09-2024,20:56:37,0.002
26-09-2024,20:56:38,0.000
26-09-2024,20:56:39,0.000
26-09-2024,20:56:40,0.000
26-09-2024,20:56:41,0.000
26-09-2024,20:56:42,0.000
26-09-2024,20:56:43,0.000
26-09-2024,20:56:44,0.000
26-09-2024,20:56:45,0.000
26-09-2024,20:56:46,0.000
26-09-2024,20:56:47,0.000
26-09-2024,20:56:48,0.000
26-09-2024,20:56:49,0.000
26-09-2024,20:56:50,0.000
26-09-2024,20:56:51,0.000
26-09-2024,20:56:52,0.001
26-09-2024,20:56:53,0.000
26-09-2024,20:56:54,0.000
26-09-2024,20:56:55,0.000
26-09-2024,20:56:56,0.000
26-09-2024,20:56:57,0.000
26-09-2024,20:56:58,0.000
26-09-2024,20:56:59,0.000
26-09-2024,20:57:00,0.000
26-09-2024,20:57:01,0.000
26-09-2024,20:57:02,0.000
26-09-2024,20:57:03,0.000
26-09-2024,20:57:04,0.000
26-09-2024,20:57:05,0.000
26-09-2024,20:57:06,0.000
26-09-2024,20:57:07,0.000
26-09-2024,20:57:08,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 3 LONCO_002
Start Date:,26-09-2024
Start Time:,20:59:15
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,185
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.048
,Minimum:,0.042
,Time of Minimum:,20:59:37
,Date of Minimum:,26-09-2024
,Maximum:,0.055
,Time of Maximum:,21:01:36
,Date of Maximum:,26-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
26-09-2024,20:59:16,0.046
26-09-2024,20:59:17,0.048
26-09-2024,20:59:18,0.045
26-09-2024,20:59:19,0.049
26-09-2024,20:59:20,0.051
26-09-2024,20:59:21,0.045
26-09-2024,20:59:22,0.048
26-09-2024,20:59:23,0.049
26-09-2024,20:59:24,0.047
26-09-2024,20:59:25,0.048
26-09-2024,20:59:26,0.047
26-09-2024,20:59:27,0.048
26-09-2024,20:59:28,0.046
26-09-2024,20:59:29,0.045
26-09-2024,20:59:30,0.047
26-09-2024,20:59:31,0.048
26-09-2024,20:59:32,0.049
26-09-2024,20:59:33,0.052
26-09-2024,20:59:34,0.047
26-09-2024,20:59:35,0.046
26-09-2024,20:59:36,0.048
26-09-2024,20:59:37,0.042
26-09-2024,20:59:38,0.044
26-09-2024,20:59:39,0.043
26-09-2024,20:59:40,0.048
26-09-2024,20:59:41,0.052
26-09-2024,20:59:42,0.051
26-09-2024,20:59:43,0.048
26-09-2024,20:59:44,0.048
26-09-2024,20:59:45,0.047
26-09-2024,20:59:46,0.050
26-09-2024,20:59:47,0.050
26-09-2024,20:59:48,0.047
26-09-2024,20:59:49,0.047
26-09-2024,20:59:50,0.048
26-09-2024,20:59:51,0.050
26-09-2024,20:59:52,0.051
26-09-2024,20:59:53,0.046
26-09-2024,20:59:54,0.045
26-09-2024,20:59:55,0.048
26-09-2024,20:59:56,0.046
26-09-2024,20:59:57,0.048
26-09-2024,20:59:58,0.049
26-09-2024,20:59:59,0.047
26-09-2024,21:00:00,0.044
26-09-2024,21:00:01,0.046
26-09-2024,21:00:02,0.047
26-09-2024,21:00:03,0.045
26-09-2024,21:00:04,0.046
26-09-2024,21:00:05,0.043
26-09-2024,21:00:06,0.042
26-09-2024,21:00:07,0.045
26-09-2024,21:00:08,0.045
26-09-2024,21:00:09,0.044
26-09-2024,21:00:10,0.045
26-09-2024,21:00:11,0.047
26-09-2024,21:00:12,0.046
26-09-2024,21:00:13,0.045
26-09-2024,21:00:14,0.047
26-09-2024,21:00:15,0.046
26-09-2024,21:00:16,0.045
26-09-2024,21:00:17,0.046
26-09-2024,21:00:18,0.045
26-09-2024,21:00:19,0.044
26-09-2024,21:00:20,0.045
26-09-2024,21:00:21,0.046
26-09-2024,21:00:22,0.047
26-09-2024,21:00:23,0.045
26-09-2024,21:00:24,0.044
26-09-2024,21:00:25,0.045
26-09-2024,21:00:26,0.045
26-09-2024,21:00:27,0.045
26-09-2024,21:00:28,0.050
26-09-2024,21:00:29,0.050
26-09-2024,21:00:30,0.045
26-09-2024,21:00:31,0.044
26-09-2024,21:00:32,0.046
26-09-2024,21:00:33,0.050
26-09-2024,21:00:34,0.049
26-09-2024,21:00:35,0.046
26-09-2024,21:00:36,0.047
26-09-2024,21:00:37,0.049
26-09-2024,21:00:38,0.048
26-09-2024,21:00:39,0.044
26-09-2024,21:00:40,0.045
26-09-2024,21:00:41,0.048
26-09-2024,21:00:42,0.046
26-09-2024,21:00:43,0.045
26-09-2024,21:00:44,0.044
26-09-2024,21:00:45,0.045
26-09-2024,21:00:46,0.047
