FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240720;0100;;29;;
240720;0200;;13;;
240720;0300;;14;;
240720;0400;;19;;
240720;0500;;15;;
240720;0600;;9;;
240720;0700;;11;;
240720;0800;;36;;
240720;0900;;32;;
240720;1000;;14;;
240720;1100;;7;;
240720;1200;;6;;
240720;1300;;5;;
240720;1400;;6;;
240720;1500;;5;;
240720;1600;;4;;
240720;1700;;45;;
240720;1800;;48;;
240720;1900;;49;;
240720;2000;;62;;
240720;2100;;68;;
240720;2200;;46;;
240720;2300;;32;;
240721;0000;;27;;
240721;0100;;27;;
240721;0200;;21;;
240721;0300;;8;;
240721;0400;;10;;
240721;0500;;11;;
240721;0600;;10;;
240721;0700;;21;;
240721;0800;;16;;
240721;0900;;19;;
240721;1000;;19;;
240721;1100;;23;;
240721;1200;;13;;
240721;1300;;12;;
240721;1400;;10;;
240721;1500;;8;;
240721;1600;;10;;
240721;1700;;17;;
240721;1800;;135;;
240721;1900;;146;;
240721;2000;;120;;
240721;2100;;91;;
240721;2200;;90;;
240721;2300;;72;;
240722;0000;;36;;
240722;0100;;23;;
240722;0200;;22;;
240722;0300;;13;;
240722;0400;;12;;
240722;0500;;14;;
240722;0600;;16;;
240722;0700;;27;;
240722;0800;;46;;
240722;0900;;37;;
240722;1000;;27;;
240722;1100;;24;;
240722;1200;;18;;
240722;1300;;15;;
240722;1400;;16;;
240722;1500;;13;;
240722;1600;;26;;
240722;1700;;18;;
240722;1800;;157;;
240722;1900;;452;;
240722;2000;;439;;
240722;2100;;334;;
240722;2200;;140;;
240722;2300;;109;;
240723;0000;;111;;
240723;0100;;59;;
240723;0200;;62;;
240723;0300;;48;;
240723;0400;;42;;
240723;0500;;13;;
240723;0600;;33;;
240723;0700;;62;;
240723;0800;;185;;
240723;0900;;133;;
240723;1000;;45;;
240723;1100;;48;;
240723;1200;;40;;
240723;1300;;27;;
240723;1400;;24;;
240723;1500;;21;;
240723;1600;;39;;
240723;1700;;22;;
240723;1800;;16;;
240723;1900;;21;;
240723;2000;;17;;
240723;2100;;17;;
240723;2200;;18;;
240723;2300;;16;;
240724;0000;;11;;
240724;0100;;14;;
240724;0200;;33;;
240724;0300;;13;;
240724;0400;;14;;
240724;0500;;13;;
240724;0600;;12;;
240724;0700;;14;;
240724;0800;;18;;
240724;0900;;17;;
240724;1000;;18;;
240724;1100;;10;;
240724;1200;;13;;
240724;1300;;13;;
240724;1400;;25;;
240724;1500;;23;;
240724;1600;;28;;
240724;1700;;41;;
240724;1800;;23;;
240724;1900;;95;;
240724;2000;;56;;
240724;2100;;28;;
240724;2200;;18;;
240724;2300;;12;;
240725;0000;;21;;
240725;0100;;12;;
240725;0200;;10;;
240725;0300;;7;;
240725;0400;;9;;
240725;0500;;4;;
240725;0600;;8;;
240725;0700;;12;;
240725;0800;;17;;
240725;0900;;12;;
240725;1000;;22;;
240725;1100;;18;;
240725;1200;;21;;
240725;1300;;7;;
240725;1400;;17;;
240725;1500;;11;;
240725;1600;;29;;
240725;1700;;71;;
240725;1800;;198;;
240725;1900;;201;;
240725;2000;;217;;
240725;2100;;130;;
240725;2200;;145;;
240725;2300;;149;;
240726;0000;;113;;
240726;0100;;75;;
240726;0200;;86;;
240726;0300;;33;;
