TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,19-08-2024
Start Time:,20:02:44
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,69
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:02:45
,Date of Minimum:,19-08-2024
,Maximum:,0.001
,Time of Maximum:,20:03:01
,Date of Maximum:,19-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
19-08-2024,20:02:45,0.000
19-08-2024,20:02:46,0.000
19-08-2024,20:02:47,0.000
19-08-2024,20:02:48,0.000
19-08-2024,20:02:49,0.000
19-08-2024,20:02:50,0.000
19-08-2024,20:02:51,0.000
19-08-2024,20:02:52,0.000
19-08-2024,20:02:53,0.000
19-08-2024,20:02:54,0.000
19-08-2024,20:02:55,0.000
19-08-2024,20:02:56,0.000
19-08-2024,20:02:57,0.000
19-08-2024,20:02:58,0.000
19-08-2024,20:02:59,0.000
19-08-2024,20:03:00,0.000
19-08-2024,20:03:01,0.001
19-08-2024,20:03:02,0.000
19-08-2024,20:03:03,0.000
19-08-2024,20:03:04,0.000
19-08-2024,20:03:05,0.000
19-08-2024,20:03:06,0.000
19-08-2024,20:03:07,0.001
19-08-2024,20:03:08,0.001
19-08-2024,20:03:09,0.000
19-08-2024,20:03:10,0.000
19-08-2024,20:03:11,0.000
19-08-2024,20:03:12,0.001
19-08-2024,20:03:13,0.001
19-08-2024,20:03:14,0.001
19-08-2024,20:03:15,0.000
19-08-2024,20:03:16,0.000
19-08-2024,20:03:17,0.000
19-08-2024,20:03:18,0.001
19-08-2024,20:03:19,0.000
19-08-2024,20:03:20,0.000
19-08-2024,20:03:21,0.000
19-08-2024,20:03:22,0.000
19-08-2024,20:03:23,0.000
19-08-2024,20:03:24,0.000
19-08-2024,20:03:25,0.000
19-08-2024,20:03:26,0.000
19-08-2024,20:03:27,0.000
19-08-2024,20:03:28,0.000
19-08-2024,20:03:29,0.000
19-08-2024,20:03:30,0.000
19-08-2024,20:03:31,0.000
19-08-2024,20:03:32,0.000
19-08-2024,20:03:33,0.000
19-08-2024,20:03:34,0.000
19-08-2024,20:03:35,0.001
19-08-2024,20:03:36,0.000
19-08-2024,20:03:37,0.000
19-08-2024,20:03:38,0.000
19-08-2024,20:03:39,0.000
19-08-2024,20:03:40,0.000
19-08-2024,20:03:41,0.000
19-08-2024,20:03:42,0.000
19-08-2024,20:03:43,0.000
19-08-2024,20:03:44,0.000
19-08-2024,20:03:45,0.000
19-08-2024,20:03:46,0.000
19-08-2024,20:03:47,0.000
19-08-2024,20:03:48,0.000
19-08-2024,20:03:49,0.000
19-08-2024,20:03:50,0.000
19-08-2024,20:03:51,0.000
19-08-2024,20:03:52,0.000
19-08-2024,20:03:53,0.000

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,002
Test Abbreviation:,TEST 3 LONCO_002
Start Date:,19-08-2024
Start Time:,20:06:01
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,191
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.041
,Minimum:,0.038
,Time of Minimum:,20:06:02
,Date of Minimum:,19-08-2024
,Maximum:,0.046
,Time of Maximum:,20:08:14
,Date of Maximum:,19-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
19-08-2024,20:06:02,0.038
19-08-2024,20:06:03,0.040
19-08-2024,20:06:04,0.041
19-08-2024,20:06:05,0.040
19-08-2024,20:06:06,0.039
19-08-2024,20:06:07,0.039
19-08-2024,20:06:08,0.039
19-08-2024,20:06:09,0.038
19-08-2024,20:06:10,0.041
19-08-2024,20:06:11,0.041
19-08-2024,20:06:12,0.041
19-08-2024,20:06:13,0.039
19-08-2024,20:06:14,0.039
19-08-2024,20:06:15,0.040
19-08-2024,20:06:16,0.041
19-08-2024,20:06:17,0.040
19-08-2024,20:06:18,0.040
19-08-2024,20:06:19,0.040
19-08-2024,20:06:20,0.041
19-08-2024,20:06:21,0.044
19-08-2024,20:06:22,0.045
19-08-2024,20:06:23,0.040
19-08-2024,20:06:24,0.041
19-08-2024,20:06:25,0.040
19-08-2024,20:06:26,0.041
19-08-2024,20:06:27,0.040
19-08-2024,20:06:28,0.040
19-08-2024,20:06:29,0.038
19-08-2024,20:06:30,0.038
19-08-2024,20:06:31,0.040
19-08-2024,20:06:32,0.041
19-08-2024,20:06:33,0.042
19-08-2024,20:06:34,0.042
19-08-2024,20:06:35,0.043
19-08-2024,20:06:36,0.041
19-08-2024,20:06:37,0.040
19-08-2024,20:06:38,0.039
19-08-2024,20:06:39,0.041
19-08-2024,20:06:40,0.041
19-08-2024,20:06:41,0.043
19-08-2024,20:06:42,0.041
19-08-2024,20:06:43,0.041
19-08-2024,20:06:44,0.042
19-08-2024,20:06:45,0.042
19-08-2024,20:06:46,0.040
19-08-2024,20:06:47,0.041
19-08-2024,20:06:48,0.039
19-08-2024,20:06:49,0.039
19-08-2024,20:06:50,0.043
19-08-2024,20:06:51,0.044
19-08-2024,20:06:52,0.042
19-08-2024,20:06:53,0.041
19-08-2024,20:06:54,0.040
19-08-2024,20:06:55,0.041
19-08-2024,20:06:56,0.040
19-08-2024,20:06:57,0.043
19-08-2024,20:06:58,0.043
19-08-2024,20:06:59,0.041
19-08-2024,20:07:00,0.041
19-08-2024,20:07:01,0.041
19-08-2024,20:07:02,0.041
19-08-2024,20:07:03,0.041
19-08-2024,20:07:04,0.042
19-08-2024,20:07:05,0.042
19-08-2024,20:07:06,0.042
19-08-2024,20:07:07,0.043
19-08-2024,20:07:08,0.041
19-08-2024,20:07:09,0.041
19-08-2024,20:07:10,0.041
19-08-2024,20:07:11,0.041
19-08-2024,20:07:12,0.041
19-08-2024,20:07:13,0.040
19-08-2024,20:07:14,0.041
19-08-2024,20:07:15,0.042
19-08-2024,20:07:16,0.041
19-08-2024,20:07:17,0.043
19-08-2024,20:07:18,0.041
19-08-2024,20:07:19,0.040
19-08-2024,20:07:20,0.040
19-08-2024,20:07:21,0.040
19-08-2024,20:07:22,0.040
19-08-2024,20:07:23,0.040
19-08-2024,20:07:24,0.041
19-08-2024,20:07:25,0.042
19-08-2024,20:07:26,0.043
19-08-2024,20:07:27,0.043
19-08-2024,20:07:28,0.042
19-08-2024,20:07:29,0.041
19-08-2024,20:07:30,0.040
19-08-2024,20:07:31,0.039
19-08-2024,20:07:32,0.040
19-08-2024,20:07:33,0.040
19-08-2024,20:07:34,0.040
19-08-2024,20:07:35,0.041
19-08-2024,20:07:36,0.042
19-08-2024,20:07:37,0.043
19-08-2024,20:07:38,0.042
19-08-2024,20:07:39,0.039
19-08-2024,20:07:40,0.040
19-08-2024,20:07:41,0.043
19-08-2024,20:07:42,0.040
19-08-2024,20:07:43,0.039
19-08-2024,20:07:44,0.042
19-08-2024,20:07:45,0.041
19-08-2024,20:07:46,0.040
19-08-2024,20:07:47,0.042
19-08-2024,20:07:48,0.041
19-08-2024,20:07:49,0.038
19-08-2024,20:07:50,0.042
19-08-2024,20:07:51,0.044
19-08-2024,20:07:52,0.043
19-08-2024,20:07:53,0.041
19-08-2024,20:07:54,0.040
19-08-2024,20:07:55,0.040
19-08-2024,20:07:56,0.041
19-08-2024,20:07:57,0.042
19-08-2024,20:07:58,0.042
19-08-2024,20:07:59,0.040
19-08-2024,20:08:00,0.040
19-08-2024,20:08:01,0.041
19-08-2024,20:08:02,0.041
19-08-2024,20:08:03,0.039
19-08-2024,20:08:04,0.040
19-08-2024,20:08:05,0.039
19-08-2024,20:08:06,0.041
19-08-2024,20:08:07,0.041
19-08-2024,20:08:08,0.040
19-08-2024,20:08:09,0.043
19-08-2024,20:08:10,0.043
19-08-2024,20:08:11,0.045
19-08-2024,20:08:12,0.044
19-08-2024,20:08:13,0.043
19-08-2024,20:08:14,0.046
19-08-2024,20:08:15,0.043
19-08-2024,20:08:16,0.041
19-08-2024,20:08:17,0.041
19-08-2024,20:08:18,0.040
19-08-2024,20:08:19,0.041
19-08-2024,20:08:20,0.040
19-08-2024,20:08:21,0.039
19-08-2024,20:08:22,0.040
19-08-2024,20:08:23,0.041
19-08-2024,20:08:24,0.042
19-08-2024,20:08:25,0.041
19-08-2024,20:08:26,0.042
19-08-2024,20:08:27,0.041
19-08-2024,20:08:28,0.040
19-08-2024,20:08:29,0.043
19-08-2024,20:08:30,0.040
19-08-2024,20:08:31,0.039
19-08-2024,20:08:32,0.039
19-08-2024,20:08:33,0.040
19-08-2024,20:08:34,0.042
19-08-2024,20:08:35,0.042
19-08-2024,20:08:36,0.042
19-08-2024,20:08:37,0.040
19-08-2024,20:08:38,0.041
19-08-2024,20:08:39,0.042
19-08-2024,20:08:40,0.042
19-08-2024,20:08:41,0.041
19-08-2024,20:08:42,0.042
19-08-2024,20:08:43,0.041
19-08-2024,20:08:44,0.041
19-08-2024,20:08:45,0.041
19-08-2024,20:08:46,0.041
19-08-2024,20:08:47,0.041
19-08-2024,20:08:48,0.041
19-08-2024,20:08:49,0.042
19-08-2024,20:08:50,0.042
19-08-2024,20:08:51,0.042
19-08-2024,20:08:52,0.041
19-08-2024,20:08:53,0.040
19-08-2024,20:08:54,0.041
19-08-2024,20:08:55,0.041
19-08-2024,20:08:56,0.042
19-08-2024,20:08:57,0.043
19-08-2024,20:08:58,0.042
19-08-2024,20:08:59,0.042
19-08-2024,20:09:00,0.042
19-08-2024,20:09:01,0.041
19-08-2024,20:09:02,0.041
19-08-2024,20:09:03,0.043
19-08-2024,20:09:04,0.042
19-08-2024,20:09:05,0.041
19-08-2024,20:09:06,0.043
19-08-2024,20:09:07,0.042
19-08-2024,20:09:08,0.042
19-08-2024,20:09:09,0.039
19-08-2024,20:09:10,0.040
